IB Offset,Index,Index + Base,Index: 0 Type: GL_FLOAT Size: 3 : Component 0,Index: 0 Type: GL_FLOAT Size: 3 : Component 1,Index: 0 Type: GL_FLOAT Size: 3 : Component 2,Index: 1 Type: GL_FLOAT Size: 2 : Component 0,Index: 1 Type: GL_FLOAT Size: 2 : Component 1
412,236,236,0.254,0.861,2.419,0.492,0.493
413,300,300,0.263,0.821,2.663,0.499,0.526
414,3621,3621,0.385,0.793,2.677,0.483,0.533
415,3622,3622,0.372,0.842,2.438,0.477,0.500
416,236,236,0.254,0.861,2.419,0.492,0.493
417,3621,3621,0.385,0.793,2.677,0.483,0.533
418,2648,2648,0.524,0.663,2.899,0.470,0.571
419,2707,2707,0.505,0.755,2.701,0.467,0.541
420,3621,3621,0.385,0.793,2.677,0.483,0.533
421,2707,2707,0.505,0.755,2.701,0.467,0.541
422,2687,2687,0.487,0.816,2.468,0.463,0.508
423,3621,3621,0.385,0.793,2.677,0.483,0.533
424,2687,2687,0.487,0.816,2.468,0.463,0.508
425,3622,3622,0.372,0.842,2.438,0.477,0.500
426,3636,3636,0.364,0.849,2.190,0.470,0.467
427,237,237,0.250,0.860,2.167,0.484,0.460
428,236,236,0.254,0.861,2.419,0.492,0.493
429,3636,3636,0.364,0.849,2.190,0.470,0.467
430,236,236,0.254,0.861,2.419,0.492,0.493
431,3622,3622,0.372,0.842,2.438,0.477,0.500
432,3636,3636,0.364,0.849,2.190,0.470,0.467
433,3622,3622,0.372,0.842,2.438,0.477,0.500
434,2687,2687,0.487,0.816,2.468,0.463,0.508
435,3636,3636,0.364,0.849,2.190,0.470,0.467
436,3635,3635,0.361,0.813,1.942,0.460,0.435
437,238,238,0.250,0.819,1.918,0.474,0.428
438,3636,3636,0.364,0.849,2.190,0.470,0.467
439,238,238,0.250,0.819,1.918,0.474,0.428
440,237,237,0.250,0.860,2.167,0.484,0.460
441,3636,3636,0.364,0.849,2.190,0.470,0.467
442,2687,2687,0.487,0.816,2.468,0.463,0.508
443,2686,2686,0.474,0.833,2.225,0.457,0.476
444,3636,3636,0.364,0.849,2.190,0.470,0.467
445,2686,2686,0.474,0.833,2.225,0.457,0.476
446,2685,2685,0.468,0.804,1.979,0.448,0.444
447,3636,3636,0.364,0.849,2.190,0.470,0.467
448,2685,2685,0.468,0.804,1.979,0.448,0.444
449,3635,3635,0.361,0.813,1.942,0.460,0.435
450,3633,3633,0.361,0.733,1.705,0.449,0.403
451,238,238,0.250,0.819,1.918,0.474,0.428
452,3635,3635,0.361,0.813,1.942,0.460,0.435
453,3633,3633,0.361,0.733,1.705,0.449,0.403
454,3635,3635,0.361,0.813,1.942,0.460,0.435
455,2685,2685,0.468,0.804,1.979,0.448,0.444
456,3633,3633,0.361,0.733,1.705,0.449,0.403
457,1574,1574,0.250,0.739,1.681,0.463,0.395
458,238,238,0.250,0.819,1.918,0.474,0.428
459,3633,3633,0.361,0.733,1.705,0.449,0.403
460,3634,3634,0.365,0.630,1.487,0.437,0.372
461,13,13,0.252,0.637,1.465,0.451,0.365
462,3633,3633,0.361,0.733,1.705,0.449,0.403
463,13,13,0.252,0.637,1.465,0.451,0.365
464,1574,1574,0.250,0.739,1.681,0.463,0.395
465,3633,3633,0.361,0.733,1.705,0.449,0.403
466,2685,2685,0.468,0.804,1.979,0.448,0.444
467,2690,2690,0.469,0.723,1.740,0.436,0.411
468,3633,3633,0.361,0.733,1.705,0.449,0.403
469,2690,2690,0.469,0.723,1.740,0.436,0.411
470,2668,2668,0.474,0.619,1.520,0.424,0.381
471,3633,3633,0.361,0.733,1.705,0.449,0.403
472,2668,2668,0.474,0.619,1.520,0.424,0.381
473,3634,3634,0.365,0.630,1.487,0.437,0.372
474,2689,2689,0.580,0.711,1.782,0.423,0.421
475,2668,2668,0.474,0.619,1.520,0.424,0.381
476,2690,2690,0.469,0.723,1.740,0.436,0.411
477,2689,2689,0.580,0.711,1.782,0.423,0.421
478,2690,2690,0.469,0.723,1.740,0.436,0.411
479,2685,2685,0.468,0.804,1.979,0.448,0.444
480,2689,2689,0.580,0.711,1.782,0.423,0.421
481,2669,2669,0.587,0.605,1.558,0.411,0.390
482,2668,2668,0.474,0.619,1.520,0.424,0.381
483,2689,2689,0.580,0.711,1.782,0.423,0.421
484,2685,2685,0.468,0.804,1.979,0.448,0.444
485,2684,2684,0.578,0.792,2.023,0.435,0.453
486,2689,2689,0.580,0.711,1.782,0.423,0.421
487,2684,2684,0.578,0.792,2.023,0.435,0.453
488,245,245,0.691,0.777,2.071,0.423,0.464
489,2689,2689,0.580,0.711,1.782,0.423,0.421
490,245,245,0.691,0.777,2.071,0.423,0.464
491,244,244,0.694,0.694,1.830,0.410,0.431
492,2689,2689,0.580,0.711,1.782,0.423,0.421
493,244,244,0.694,0.694,1.830,0.410,0.431
494,243,243,0.703,0.587,1.604,0.397,0.400
495,2689,2689,0.580,0.711,1.782,0.423,0.421
